"SCORE","GUESS","TRUTH","TEXT"
"0.663325191358411","n","p","Was I the only one who would do the ""hi my name is .. And your watching Disney Channel""and do the Mickey ears in your fav color as a kid? 😂"
"0.5779391272913825","n","p","Omg this lady came up to me & she told me that I'm beautiful & I wanted to be on Disney channel I have to audition tho Lmfaoo should I?"
"0.5677727621092826","n","n","""i never played the disney game of smiling and being a princess"""
"0.553208945287458","n","n","@ApoloDuvalis the one of the disney princess that u copied from the other Andres. The linkedin guy"
"0.5457540704087934","n","p","Am I the only one who remembers and loves that old Disney channel mummy movie ""Under Wraps""?"
"0.535287224405211","n","n","Disney needs to have a throwback month and show nothing but old shows and let the old stars host it such as Hilary Duff, Raven, Aly and Aj"
"0.5315785255047598","n","n","the kids I'm watching think the Muses are weird...they obviously don't appreciate the finer things Disney has created"
"0.526207136342276","n","n","Can we please be done with all these Disney princess memes? They're not nearly as clever as people think they are."
"0.5073608828336529","n","n","Kinda sad the Jonas Brothers broke up, really the only Disney channel people from my childhood that I actually liked"
"0.4803839042263934","n","n","Wish I was a Disney princess, life would be so much better."
"0.47016142766682373","n","n","“That’s the real trouble with the world, too many people grow up.” ~ Walt Disney"
"0.4588305448525306","n","n","i wish life was like a disney story- life would be easy"
"0.4580951350070585","n","o","Parent Trap was right, Oreos and peanut butter are the bomb #amazing #supersnack #disney #throwbacktuesday"
"0.45230039916148057","n","p","Kiss the girl by ashley tisdale was my tune back when I was inseparable from the disney channel"
"0.45163827363200076","n","p","I feel basic for being the little mermaid for disney day. But whatevaaa ! "
"0.4486717442985237","n","p","i've loved them since i saw their music video for ""Unfortunate Souls"" on disney channel in 2005 i am literally crying"
"0.43860834471373367","n","p","Apparently my little cousins are being the Little Mermaid and Sebastian for Halloween, I'm so proud! #LittleMermaid #Disney #Alan"
"0.4364558970642827","n","p","""All your dreams can come true if you have the courage to pursue them."" -Walt Disney"
"0.43156246708334545","n","n","I was really excited for Disney next week until I just read that it's ""New Jersey"" week. #noooooooooo"
"0.431179710749563","n","o","In the end I wanna be standing at the beginning with you 🎶 #disney #jammin"
"0.4173311625357923","n","n","Times feeling like this when I wanna just quit uni go home, cuddle up by the fire and watch Disney films for the rest of my life."
"0.4155827847041504","n","p","i think tomorrow may have to be disney movie day"
"0.4154005646092085","n","o","""Why worry? If you've done the best you can, worrying won't make anything better."" ~Walt Disney"
"0.3960179770186375","n","n","They got carly rae jepsen to sing part of your world for little mermaid....disney isn't the same anymore #childhoodruined"
"0.3912212959204796","n","p","Hoping I got some Disney car fresheners as my souvenir.. Those are so great."
"0.38957400739715314","n","n","I just wanna know how the dudes on disney jr that dress up as pirates and sing songs feel about their music careers"
"0.38505486261246524","n","n","In another life I'd like to come back having the job of poorly singing kids jingles for Disney Channel. Wipe ur paws wipe ur paws"
"0.37602203667027956","n","n","um it better be the mythical hercules not this disney shit"
"0.3656547273254271","n","n","The upper class uses mass media empires such as Disney to infest the minds of children with imperialist imperatives."
"0.36556946644614224","n","p","1 day I'm going to just rent a whole bunch of old disney movies and spend my day watching them"
"0.3584117761053826","n","n","#ZendayaYouTubeChat how does it feel when people underestimate you because your a ""Disney girl""?"
"0.9934202690347005","o","o","""@NurAyna_Diba: Disney ;) @anis_afiqah98 @syazafarzana3 @Miss_Thila @syeera_86 @fiqzr @JuitaAMH_98 http://t.co/TqDhRlq2Qy"""
"0.9779754536817529","o","o","@ANfxxx え…宮田さんの悪役…！？聴いてみたいです//////// あと先ほどのリプありがとうでした～！楽しみます！！d=(^o^)=b"
"0.9710515542686047","o","o","@disney_pon ぽんちゃん、おはよう(^o^)こちらもいいお天気。昨日との温度差に(*_*)今日もよろしくね～(^o^)/"
"0.9654724414213764","o","o","@z_103hr しおりんありがと(；；)♡ これからもよろしくね( ˆoˆ )/ はやくDisney行こうね.｡.:*･'(*ﾟ▽ﾟ*)'･*:.｡."
"0.9640702516484382","o","o","""@______LB: “@CallmeJroc: ""@______LB: What channel is TNT on Comcast?""I think 45” that's Disney channel 😒""lmao its 33"
"0.9612697948291503","o","o","なながくれた〜(((o(*ﾟ▽ﾟ*)o))) lou若い〜！ あ〜ほんとありがとう大好き♡ http://t.co/OeO28frvuW"
"0.9582269134590545","o","o","東京駅からすでに仮装したちびっこ達が…(*^ω^*) ちびっこの王子さまとか…膝がすり減ってでもかしずきたくなる…っ！！///////"
